invoice_number,project_number,part_number,description,mid,hts_code,quantity,total_price,steel_pct,steel_kg,steel_value,aluminum_pct,aluminum_kg,aluminum_value,net_weight,bol_gross_weight
2025201887,US25A0255,VLA156-J00000,"Vltau Lite - park bench with backrest and armrests, 1,8 m long",CZMMCCAS907UHE,9401.69.8031,4.00,3135.76,,,,,,,4950.000,4950.000
2025201887,US25A0255,NDZ01,"Spare part - threaded rod M8x150 zinc coated, 1 piece threaded rod M8x165 zinc",CZMMCCAS907UHE,,16.00,49.45,,,,,,,4950.000,4950.000
2025201888,US25A0262,SI105-002000,"Isac - bollard, height 86 cm, anchoring under the paving body of cast aluminium alloy with powder coating finish",CZMMCCAS907UHE,7308.90.6000,139.00,28179.70,,,,,,,4950.000,4950.000
2025201888,US25A0262,ND501,"Spare part - anchoring material M12, zinc coated (e.g. for 1 piece of bollard)",CZMMCCAS907UHE,7308.90.6000,141.00,1498.32,,,,,,,4950.000,4950.000
2025201889,US25U0001,NDZ04,Spare part - threaded rod M10x200 ZN - 1pc,CZMMCCAS907UHE,,824.00,1534.94,,,,,,,4950.000,4950.000
2025201889,US25U0001,ND501,"Spare part - anchoring material M12, zinc coated (e.g. for 1 piece of bollard)",CZMMCCAS907UHE,7308.90.6000,128.00,1360.18,,,,,,,4950.000,4950.000
2025201889,US25U0001,ND272,Spare part - stainless steel adjustable leg M8 for Orbit stainless steel AISI316,CZMMCCAS907UHE,9403.20.0080,420.00,3325.08,,,,,,,4950.000,4950.000
2025201889,US25U0001,NDZ01,"Spare part - threaded rod M8x150 zinc coated, 1 piece threaded rod M8x165 zinc",CZMMCCAS907UHE,,200.00,618.11,,,,,,,4950.000,4950.000
2025201889,US25U0001,ND512,Spare part - connecting material M12 Zn for anchoring benches to the ground - removable,CZMMCCAS907UHE,7318.15.2095,50.00,546.14,,,,,,,4950.000,4950.000
2025201891,US25A0265,RTS1571-J02000,"!ATYP Rautster - table and bench set without backrests, with chessboard, length 0.64 m zinc coated steel structure with powder coating finish, seat and tabletop made of thermally modified ash without oil,",CZMMCCAS907UHE,9401.69.8031,2.00,2125.37,,,,,,,4950.000,4950.000
2025201891,US25A0265,ND512,Spare part - connecting material M12 Zn for anchoring benches to the ground - removable,CZMMCCAS907UHE,7318.15.2095,2.00,24.82,,,,,,,4950.000,4950.000
2025201892,US25A0263,LBQ156-202000,"Blocq - park bench with backrest and armrests, 3 m long",CZMMCCAS907UHE,9401.69.8031,4.00,4296.21,,,,,,,4950.000,4950.000
2025201892,US25A0263,LBQ156-202000,"Blocq - park bench with backrest and armrests, 3 m long",CZMMCCAS907UHE,9401.69.8031,2.00,2148.10,,,,,,,4950.000,4950.000
2025201892,US25A0263,LV157-202000,"Vera - armchair with backrest and armrests, 0,6 m long zinc coated steel structure with powder coating finish, seat and backrest of boards made of FSC 100% certified tropical",CZMMCCAS907UHE,9403.20.0080,4.00,824.03,,,,,,,4950.000,4950.000
2025201892,US25A0263,LV156-202000,"Vera - park bench with backrest and armrests, 1,8 m long zinc coated steel structure with powder coating finish, seat and backrest of boards made of FSC 100% certified tropical",CZMMCCAS907UHE,9401.69.8031,2.00,514.30,,,,,,,4950.000,4950.000
2025201892,US25A0263,NNK366-002100,"Nanuk - litter bin of square base, on central leg, with cover, with ashtray, container",CZMMCCAS907UHE,7310.29.0050,1.00,490.00,,,,,,,4950.000,4950.000
2025201892,US25A0263,NNK366-002100,"Nanuk - litter bin of square base, on central leg, with cover, with ashtray, container",CZMMCCAS907UHE,7310.29.0050,3.00,1470.00,,,,,,,4950.000,4950.000
2025201892,US25A0263,RTS251-002000,"Rautster - table and bench set without backrest, length 1,8 m zinc coated steel structure with powder coating finish, seat and table top made of perforated steel sheet",CZMMCCAS907UHE,9401.69.8031,1.00,1658.35,,,,,,,4950.000,4950.000
